Organization Name,Legacy_Account_ID,Contact ID,ACT_LegacyID,MembershipWorks_ID,Contact Name,Address,City,State,Postal Code,Country,Email Address,Phone,Website,Self-Study Enrollment Date,Self-Study Expires,Award Date,Award Expiration,County,Licensed Capacity,Number of Classrooms,Number of Staff,Days of Operation,Hours of Operation,Accredited Program,Affiliate Membership,accredited_program,Join Date
RCMA Bonita Child Development Center,,,,5dfaa4ede79c695b3b30ddd3,Ana Neuhauser and Elva Arevalo,13190 Growers Road,Bonita Springs,FL,34135,US,elva.arevalo@rcma.org;ana@rcma.org,239-947-5853,,5/8/2017,5/8/2019,7/1/2019,7/1/2023,Lee,40,4,14,M-F,7:00 - 5:30,Accredited Program,,accredited_program,27-Oct-06
RCMA Immokalee Community Child Development Center,,,,5dfaa4ede79c695b3b30ddd4,Ana Neuhauser and Florencia Patino,123 N. 4th St.,Immokalee,FL,34142,US,ana@rcma.org,239-658-3537,rcma.org,5/24/2018,5/24/2020,8/9/2016,8/9/2020,Collier,61,4,16,M-F,7:00 - 5:30,Accredited Program,,accredited_program,6-Nov-06
RCMA Rollason CDC,,,,5dfaa4ede79c695b3b30ddd5,Ana Neuhauser and Leticia Cardenas,"402 West Main Street, Bldg. C",Immokalee,FL,34142,US,leticiac@rcma.org,239-658-3595,,5/16/2016,5/16/2018,12/27/2017,12/27/2021,Collier,73,5,14,M-F,7:00 - 5:30,Accredited Program,,accredited_program,30-Oct-06
RCMA Farm Worker Village C Child Development Center,,,,5dfaa4ede79c695b3b30ddd6,Ana Neuhauser and Marisol Mendoza-Avellaneda,2225 Chadwick Circle,Immokalee,FL,34142,US,ana@rcma.org;marisolm@rcma.org,239-658-3625,rcma.org,2/2/2017,2/2/2019,1/3/2019,1/3/2023,Collier,90,6,20,M-F,7:00 - 5:30,Accredited Program,,accredited_program,6-Nov-06
RCMA Timber Ridge CDC,,,,5dfaa4ede79c695b3b30ddd7,Ana Neuhauser and Mary Martinez,2726 Wilton Court,Immokalee,FL,34142,US,ana@rcma.org;marym@rcma.org,239-867-4753,www.rcma.org,6/9/2016,6/9/2018,4/9/2018,4/9/2022,Collier,74,3,12,M-F,7:00 - 5:30,Accredited Program,,accredited_program,14-Mar-14
RCMA Farm Worker Village B Child Development Center,,,,5dfaa4ede79c695b3b30ddd8,Ana Neuhauser and Thelma Martinez,2134 Bell Circle,Immokalee,FL,34142,US,ana@rcma.org;thelma@rcma.org,239-658-3620,,1/19/2017,1/19/2019,1/9/2019,1/9/2023,Collier,58,3,6,M-F,7:00 - 5:30,Accredited Program,,accredited_program,6-Nov-06
Cardinal Farrell Community Center,,,,5dfaa4ede79c695b3b30ddd9,Ana Schaller,321 Calumet St.,Dallas,TX,75211,US,aschaller@ccdallas.org,214-337-0175,www.catholiccharitiesdallas.org,5/21/2019,5/21/2021,5/26/2017,5/26/2021,Dallas,289,5,11,M-F,8:30 - 2:30,Accredited Program,,accredited_program,11-Mar-08
2nd Step Daycare & Learning Center,,,,5dfaa4ede79c695b3b30ddda,Andre Williams,4255 S R L Thornton Freeway,Dallas,TX,75224,US,andre3406@hotmail.com,214-372-2800,,11/22/2019,11/22/2021,11/28/2017,11/28/2021,Dallas,180,6,7,M-F,6:30 - 6:00,Accredited Program,,accredited_program,1-May-15
"Puffin Learning Academy Boca, LLC",,,,5dfaa4ede79c695b3b30dddb,Andrea Henninger,19635-53 S. State Road 7,Boca Raton,FL,33498,US,andrea@puffinschool.com,561-470-6161,puffinlearningacademy.com,10/9/2019,10/9/2021,10/9/2017,10/9/2021,Palm Beach,119,8,11,M-F,7:00 - 6:00,Accredited Program,,accredited_program,21-May-10
KinderCare Learning Center #301328,,,,5dfaa4ede79c695b3b30dddc,Aneta Ponicki,9906 Roberts Road,Palos Hills,IL,60465,US,301328@klcorp.com,708-599-2225,www.kindercare.com/,5/22/2017,5/22/2019,1/22/2019,1/22/2023,Cook,127,8,13,M-F,6:30 - 6:00,Accredited Program,,accredited_program,31-Jan-05
Ann Graves Child Development Center at The Hockaday School,,,,5dfaa4ede79c695b3b30dddd,Angel Duncan,11600 Welch Road,Dallas,TX,75229,US,aduncan@hockaday.org,214-360-6553,,10/19/2018,10/19/2020,10/7/2016,10/7/2020,Dallas,64,6,15,M-F,7:00 - 6:00,Accredited Program,,accredited_program,31-Jan-11
Wishing Well Preschool & Childcare,,,,5dfaa4eee79c695b3b30ddde,Angela Evans,632 Old Indian Trail,DeForest,WI,53532,US,wishingwellpreschool@yahoo.com,608-846-9898,wishingwelldeforest.com,7/3/2017,7/3/2019,8/13/2019,8/13/2023,Dane,88,7,20,M-F,6:30 - 5:30,Accredited Program,,accredited_program,11-Mar-13
"A-Z Learning Tree, LLC",,,,5dfaa4eee79c695b3b30dddf,Angela Gagan,100 Lenape Drive,Nowata,OK,74048,US,angiegagan@yahoo.com,918-273-2602,,1/10/2019,1/10/2021,1/16/2017,1/16/2021,Nowata,60,4,10,M-F,6:30 - 5:45,Accredited Program,,accredited_program,9-Sep-15
Da Vinci Preschool Academy,,,,5dfaa4eee79c695b3b30dde0,Angela Goodey,3279 N.W. 104th Ave.,Coral Springs,FL,33065,US,angelagoodey@yahoo.com,954-227-8400,,5/2/2016,5/2/2018,8/21/2018,8/21/2022,Broward,116,8,17,M-F,6:30 - 6:30,Accredited Program,,accredited_program,2-May-16
KinderCare Learning Center #301331,,,,5dfaa4eee79c695b3b30dde1,Angela Mattison,704 Hillingdon Court,Virginia Beach,VA,23462,US,301331@kindercare.com;amattison@kindercare.com,757-474-2450,www.kindercare.com/,7/31/2018,7/31/2020,8/23/2016,8/23/2020,,135,7,15,M-F,5:45 - 6:30,Accredited Program,,accredited_program,29-Apr-09
Sunrise Early Learning,,,,5dfaa4eee79c695b3b30dde2,Angela Q James,3108 Stalcup Road,Fort Worth,TX,76119,US,sunrisecenter3417@sbcglobal.net,817-496-2040,,11/1/2018,11/1/2020,11/16/2016,11/16/2020,Tarrant,76,4,9,M-F,5:30 - 6:00,Accredited Program,,accredited_program,21-Jan-15
Shepherd's Fold Preschool & Day Care,,,,5dfaa4eee79c695b3b30dde3,Angela Rodrigues,1111 N. La Canada Drive,Green Valley,AZ,85614,US,shepherdsfoldaz@aol.com,520-625-6820,,7/9/2018,7/9/2020,6/30/2016,6/30/2020,Pima,59,4,14,M-F,7:00 - 5:30,Accredited Program,,accredited_program,18-Apr-07
KinderCare Learning Center #301540,,,,5dfaa4eee79c695b3b30dde4,Angelica Schultz,13025 Louetta Road,Cypress,TX,77429,US,301540@kindercare.com,281-379-1062,www.kindercare.com/,11/28/2017,11/28/2019,12/19/2019,12/19/2023,Harris,148,8,18,M-F,6:00 - 6:30,Accredited Program,,accredited_program,27-Nov-04
KinderCare Learning Center #301093,,,,5dfaa4eee79c695b3b30dde5,Angelique Green,1320 Beville Road,Daytona Beach,FL,32114,US,301093@klcorp.com,386-252-7193,www.kindercare.com/,7/12/2019,7/12/2021,7/13/2017,7/13/2021,Volusia,105,7,16,M-F,6:30 - 6:00,Accredited Program,,accredited_program,14-Dec-04
KinderCare Learning Center #000065,,,,5dfaa4eee79c695b3b30dde6,Angelique McQuigg,2309 Central Drive,Bedford,TX,76021,US,000065@kindercare.com;amcquigg@kindercare.com,817-571-1818,www.kindercare.com,3/7/2019,3/7/2021,4/5/2016,4/5/2020,Tarrant,150,7,15,M-F,6:00 - 6:30,Accredited Program,,accredited_program,28-Mar-07
THE Children's Academy,,,,5dfaa4eee79c695b3b30dde7,Angie Cormier,1106 Battlewood St.,Franklin,TN,37069,US,acormier@childrensacademytn.com,615-790-2273,www.childrensacademytn.com,7/13/2018,7/13/2020,7/18/2016,7/18/2020,Williamson,183,7,11,M-F,6:30 - 6:00,Accredited Program,,accredited_program,10-Feb-05
KinderCare Learning Center #301674,,,,5dfaa4eee79c695b3b30dde8,Angie Kurinec,12404 Archer Ave.,Lemont,IL,60439,US,301674@kindercare.com,630-257-1142,www.kindercare.com/,10/15/2018,10/15/2020,10/17/2016,10/17/2020,Cook,164,7,19,M-F,6:00 - 6:30,Accredited Program,,accredited_program,14-Jul-08
Early Explorations Too,,,,5dfaa4eee79c695b3b30dde9,Anji Causey,3011 Old Troy Road,Glen Carbon,IL,62034,US,earlyextoo@gmail.com,618-288-9595,www.early-explorations.com,4/22/2019,4/22/2021,6/22/2017,6/22/2021,Madison,146,9,21,M-F,6:30 - 6:00,Accredited Program,,accredited_program,11-Mar-15
"Mary's Little Lamb Preschool, Inc.",,,,5dfaa4eee79c695b3b30ddea,Anke Alberts-Garcia and Catherine Garcia,7311 N. Armenia Ave.,Tampa,FL,33604,US,maryslittlelamb59@gmail.com,813-935-3359,,2/10/2018,2/10/2020,2/11/2016,2/11/2020,Hillsborough,55,4,6,M-F,6:30 - 6:00,Accredited Program,,accredited_program,29-Jan-07
Ebenezer Child Care Center-Oak Creek,,,,5dfaa4eee79c695b3b30ddeb,Ann McKillip,220 W. Forest Hill Avenue,Oak Creek,WI,53154,US,amckillip@ebenezerchildcare.com,414-768-0151,www.ebenezerchildcare.com/oak-creek.html,9/6/2016,9/6/2018,4/23/2018,4/23/2022,Milwaukee,166,11,24,,6:00 - 6:00,Accredited Program,,accredited_program,9-Feb-09
Neptune Baptist W.E.E. School,,,,5dfaa4eee79c695b3b30ddec,Anna Summers,407 Third St.,Neptune Beach,FL,32266,US,nbcweeschool@yahoo.com,904-249-0305,,7/18/2019,7/18/2021,7/18/2017,7/18/2021,Duval,69,6,9,T-F,7:00 - 6:00,Accredited Program,,accredited_program,21-Mar-05
KinderCare Learning Center #071802,,,,5dfaa4eee79c695b3b30dded,Anne Kostecki,15500 Reeck Road,Southgate,MI,48195,US,071802@klcorp.com,734-281-1111,www.kindercare.com/,12/19/2019,12/19/2021,12/27/2017,12/27/2021,Wayne,160,9,21,M-F,6:30 - 6:00,Accredited Program,,accredited_program,
KinderCare Learning Center #000094,,,,5dfaa4eee79c695b3b30ddee,Anne Sholes,308 N. Mulford Road,Rockford,IL,61107,US,000094@kindercare.com,815-398-2800,www.kindercare.com/,3/15/2018,3/15/2020,3/8/2016,3/8/2020,Winnebago,206,12,34,M-F,6:00 - 6:00,Accredited Program,,accredited_program,5-Mar-08
Knowledge Beginnings #075302,,,,5dfaa4eee79c695b3b30ddef,Anneke Braisted,10741 Forest Pines Drive,Raleigh,NC,27614,US,075302@klcorp.com,919-570-3401,www.knowledgebeginnings.com/,2/13/2018,2/13/2020,12/19/2019,12/19/2023,Wake,176,9,16,M-F,6:30 - 6:30,Accredited Program,,accredited_program,18-Apr-06
Children First Inc.,,,,5dfaa4eee79c695b3b30ddf0,Annette Betts,1723 N. Orange Ave.,Sarasota,FL,34234,US,abetts@childrenfirst.net,941-953-3877,www.childrenfirst.net,3/5/2018,3/5/2020,3/18/2016,3/18/2020,Sarasota,162,10,27,M-F,7:00 - 5:30,Accredited Program,,accredited_program,30-Nov-07
